"","KSDistance","sSigmaMean","sIntSEMod","sSigmaSD","scn"
"5592",0.4009,0.069568,9,0.05,"Low"
"5672",0.6677,0.08696,1,0.05,"Low"
"5752",0.6618,0.08696,3,0.05,"Low"
"5832",0.6859,0.08696,5,0.05,"Low"
"5912",0.2015,0.08696,7,0.05,"Low"
"5992",0.633,0.08696,9,0.05,"Low"
"6072",0.3068,0.017392,1,0.07,"Low"
"6152",0.9113,0.017392,3,0.07,"Low"
"6232",0.9477,0.017392,5,0.07,"Low"
"6312",0.3365,0.017392,7,0.07,"Low"
"6392",0.194,0.017392,9,0.07,"Low"
"6472",0.8951,0.034784,1,0.07,"Low"
"6552",0.2766,0.034784,3,0.07,"Low"
"6632",0.2147,0.034784,5,0.07,"Low"
"6712",0.2835,0.034784,7,0.07,"Low"
"6792",0.4874,0.034784,9,0.07,"Low"
"6872",0.4634,0.052176,1,0.07,"Low"
"6952",0.3266,0.052176,3,0.07,"Low"
"7032",0.7626,0.052176,5,0.07,"Low"
"7112",0.6255,0.052176,7,0.07,"Low"
"7192",0.7665,0.052176,9,0.07,"Low"
"7272",0.5157,0.069568,1,0.07,"Low"
"7352",0.2929,0.069568,3,0.07,"Low"
"7432",0.3582,0.069568,5,0.07,"Low"
"7512",0.2891,0.069568,7,0.07,"Low"
"7592",0.2036,0.069568,9,0.07,"Low"
"7672",0.575,0.08696,1,0.07,"Low"
"7752",0.7601,0.08696,3,0.07,"Low"
"7832",0.3517,0.08696,5,0.07,"Low"
"7912",0.2642,0.08696,7,0.07,"Low"
"7992",0.1811,0.08696,9,0.07,"Low"
"8072",0.3961,0.017392,1,0.09,"Low"
"8152",0.8279,0.017392,3,0.09,"Low"
"8232",0.5823,0.017392,5,0.09,"Low"
"8312",0.7612,0.017392,7,0.09,"Low"
"8392",0.1982,0.017392,9,0.09,"Low"
"8472",0.3938,0.034784,1,0.09,"Low"
"8552",0.7724,0.034784,3,0.09,"Low"
"8632",0.8624,0.034784,5,0.09,"Low"
"8712",0.3135,0.034784,7,0.09,"Low"
"8792",0.5156,0.034784,9,0.09,"Low"
"8872",0.4289,0.052176,1,0.09,"Low"
"8952",0.8419,0.052176,3,0.09,"Low"
"9032",0.6148,0.052176,5,0.09,"Low"
"9112",0.371,0.052176,7,0.09,"Low"
"9192",0.2463,0.052176,9,0.09,"Low"
"9272",0.7343,0.069568,1,0.09,"Low"
"9352",0.729,0.069568,3,0.09,"Low"
"9432",0.4233,0.069568,5,0.09,"Low"
"9512",0.3888,0.069568,7,0.09,"Low"
"9592",0.2321,0.069568,9,0.09,"Low"
"9672",0.467,0.08696,1,0.09,"Low"
"9752",0.8896,0.08696,3,0.09,"Low"
"9832",0.7714,0.08696,5,0.09,"Low"
"9912",0.6669,0.08696,7,0.09,"Low"
"9992",0.3996,0.08696,9,0.09,"Low"
"723",0.2511,0.017392,1,0.01,"High"
"1522",0.1839,0.017392,3,0.01,"High"
"2322",0.9257,0.017392,5,0.01,"High"
"3122",0.7747,0.017392,7,0.01,"High"
"3922",0.4147,0.017392,9,0.01,"High"
"4722",0.5206,0.034784,1,0.01,"High"
"5522",0.4263,0.034784,3,0.01,"High"
"6322",0.4804,0.034784,5,0.01,"High"
"7122",0.5066,0.034784,7,0.01,"High"
"7922",0.1352,0.034784,9,0.01,"High"
"8722",0.9553,0.052176,1,0.01,"High"
"9522",0.9518,0.052176,3,0.01,"High"
"10322",0.3824,0.052176,5,0.01,"High"
"11122",0.3344,0.052176,7,0.01,"High"
"11922",0.2823,0.052176,9,0.01,"High"
"12721",0.3158,0.069568,1,0.01,"High"
"13521",0.4465,0.069568,3,0.01,"High"
"14321",0.8374,0.069568,5,0.01,"High"
"15121",0.2216,0.069568,7,0.01,"High"
"15921",0.2271,0.069568,9,0.01,"High"
"16721",0.8133,0.08696,1,0.01,"High"
"17521",0.2603,0.08696,3,0.01,"High"
"18321",0.5992,0.08696,5,0.01,"High"
"19121",0.766,0.08696,7,0.01,"High"
"19921",0.8828,0.08696,9,0.01,"High"
"20721",0.4643,0.017392,1,0.03,"High"
"21521",0.4183,0.017392,3,0.03,"High"
"22321",0.4033,0.017392,5,0.03,"High"
"23121",0.372,0.017392,7,0.03,"High"
"23921",0.1937,0.017392,9,0.03,"High"
"24721",0.8113,0.034784,1,0.03,"High"
"25521",0.7247,0.034784,3,0.03,"High"
"26321",0.4874,0.034784,5,0.03,"High"
"27121",0.1925,0.034784,7,0.03,"High"
"27921",0.408,0.034784,9,0.03,"High"
"28721",0.4595,0.052176,1,0.03,"High"
"29521",0.217,0.052176,3,0.03,"High"
"30321",0.9161,0.052176,5,0.03,"High"
"31121",0.467,0.052176,7,0.03,"High"
"31921",0.35,0.052176,9,0.03,"High"
"32721",0.7268,0.069568,1,0.03,"High"
"33521",0.2908,0.069568,3,0.03,"High"
"34321",0.3218,0.069568,5,0.03,"High"
"35121",0.5105,0.069568,7,0.03,"High"
"35921",0.8607,0.069568,9,0.03,"High"
"36721",0.4613,0.08696,1,0.03,"High"
"37521",0.2009,0.08696,3,0.03,"High"
